index,NAME,DATE,TIME,LONGITUDE,LATITUDE,datetime,month,year,day,week,hour,cat_day,cat_dry,dscrt_X,dscrt_Y,late_dry
15,MANOEL,12/14/2015,16:10:32,34.499117,-19.056433,12/14/2015 16:10,12,2015,14,50,16,1,0,21,19,1
588,MANOEL,12/26/2015,16:25:02,34.55375,-19.04805,12/26/2015 16:25,12,2015,26,52,16,1,0,24,19,1
731,MANOEL,12/29/2015,16:28:50,34.568083,-19.089367000000006,12/29/2015 16:28,12,2015,29,52,16,1,0,24,20,1
1017,MANOEL,8/4/2016,16:24:51,34.41975,-19.059933,8/4/2016 16:24,8,2016,4,31,16,1,0,18,19,1
1112,MANOEL,8/6/2016,16:26:33,34.432033000000004,-19.065183,8/6/2016 16:26,8,2016,6,32,16,1,0,19,19,1
1399,MANOEL,8/12/2016,16:02:56,34.440767,-19.0699,8/12/2016 16:02,8,2016,12,33,16,1,0,19,20,1
1540,MANOEL,8/15/2016,16:06:32,34.449683,-19.06825,8/15/2016 16:06,8,2016,15,33,16,1,0,19,20,1
1732,MANOEL,8/19/2016,16:11:32,34.404383,-19.031483,8/19/2016 16:11,8,2016,19,34,16,1,0,18,18,1
1922,MANOEL,8/23/2016,16:16:27,34.405866,-19.053433,8/23/2016 16:16,8,2016,23,34,16,1,0,18,19,1
2018,MANOEL,8/25/2016,16:19:26,34.433583,-19.068,8/25/2016 16:19,8,2016,25,34,16,1,0,19,20,1
2208,MANOEL,8/29/2016,16:23:50,34.42815,-19.064717,8/29/2016 16:23,8,2016,29,35,16,1,0,18,19,1
2351,MANOEL,9/1/2016,16:27:32,34.482366,-19.096783,9/1/2016 16:27,9,2016,1,35,16,1,0,21,21,1
2446,MANOEL,9/3/2016,16:00:02,34.44265,-19.06995,9/3/2016 16:00,9,2016,3,36,16,1,0,19,20,1
2541,MANOEL,9/5/2016,16:02:20,34.488883,-19.0861,9/5/2016 16:02,9,2016,5,36,16,1,0,21,20,1
2589,MANOEL,9/6/2016,16:03:25,34.481617,-19.085383,9/6/2016 16:03,9,2016,6,36,16,1,0,21,20,1
2637,MANOEL,9/7/2016,16:04:50,34.481383,-19.081517,9/7/2016 16:04,9,2016,7,36,16,1,0,21,20,1
2733,MANOEL,9/9/2016,16:07:02,34.484383,-19.09365,9/9/2016 16:07,9,2016,9,37,16,1,0,21,21,1
2923,MANOEL,9/13/2016,16:11:56,34.485966,-19.087033,9/13/2016 16:11,9,2016,13,37,16,1,0,21,20,1
3019,MANOEL,9/15/2016,16:15:29,34.5309,-19.071867,9/15/2016 16:15,9,2016,15,37,16,1,0,23,20,1
