index,NAME,DATE,TIME,LONGITUDE,LATITUDE,datetime,month,year,day,week,hour,cat_day,cat_dry,dscrt_X,dscrt_Y,late_dry
63,MANOEL,12/15/2015,16:12:02,34.526233000000005,-19.021866,12/15/2015 16:12,12,2015,15,50,16,1,0,22,18,1
111,MANOEL,12/16/2015,16:12:56,34.491183,-19.05815,12/16/2015 16:12,12,2015,16,50,16,1,0,21,19,1
158,MANOEL,12/17/2015,16:14:01,34.48345,-19.044633,12/17/2015 16:14,12,2015,17,51,16,1,0,21,19,1
206,MANOEL,12/18/2015,16:15:19,34.5081,-19.064717,12/18/2015 16:15,12,2015,18,51,16,1,0,22,19,1
254,MANOEL,12/19/2015,16:16:51,34.463933000000004,-19.036583,12/19/2015 16:16,12,2015,19,51,16,1,0,20,18,1
302,MANOEL,12/20/2015,16:18:03,34.461683,-19.068633,12/20/2015 16:18,12,2015,20,51,16,1,0,20,20,1
349,MANOEL,12/21/2015,16:18:56,34.4976,-19.042217,12/21/2015 16:18,12,2015,21,51,16,1,0,21,18,1
397,MANOEL,12/22/2015,16:20:02,34.465217,-19.04795,12/22/2015 16:20,12,2015,22,51,16,1,0,20,19,1
445,MANOEL,12/23/2015,16:21:29,34.457433,-19.0632,12/23/2015 16:21,12,2015,23,51,16,1,0,20,19,1
493,MANOEL,12/24/2015,16:22:26,34.5517,-19.0388,12/24/2015 16:22,12,2015,24,52,16,1,0,23,18,1
540,MANOEL,12/25/2015,16:23:50,34.557617,-19.050417000000003,12/25/2015 16:23,12,2015,25,52,16,1,0,24,19,1
636,MANOEL,12/27/2015,16:26:26,34.5659,-19.104233,12/27/2015 16:26,12,2015,27,52,16,1,0,24,21,1
683,MANOEL,12/28/2015,16:28:27,34.5694,-19.07175,12/28/2015 16:28,12,2015,28,52,16,1,0,24,20,1
778,MANOEL,12/30/2015,16:00:02,34.558783,-19.0929,12/30/2015 16:00,12,2015,30,52,16,1,0,24,21,1
873,MANOEL,8/1/2016,16:19:48,34.385583000000004,-19.011,8/1/2016 16:19,8,2016,1,31,16,1,0,17,17,1
921,MANOEL,8/2/2016,16:21:02,34.462533,-19.064833,8/2/2016 16:21,8,2016,2,31,16,1,0,20,19,1
969,MANOEL,8/3/2016,16:22:01,34.455033,-19.065667,8/3/2016 16:22,8,2016,3,31,16,1,0,20,19,1
1064,MANOEL,8/5/2016,16:24:32,34.408066,-19.05235,8/5/2016 16:24,8,2016,5,32,16,1,0,18,19,1
1160,MANOEL,8/7/2016,16:27:02,34.446917,-19.06635,8/7/2016 16:27,8,2016,7,32,16,1,0,19,19,1
1208,MANOEL,8/8/2016,16:29:26,34.437116,-19.064383,8/8/2016 16:29,8,2016,8,32,16,1,0,19,19,1
1256,MANOEL,8/9/2016,16:29:32,34.441466,-19.073617,8/9/2016 16:29,8,2016,9,32,16,1,0,19,20,1
1303,MANOEL,8/10/2016,16:00:32,34.440883,-19.074133,8/10/2016 16:00,8,2016,10,32,16,1,0,19,20,1
1351,MANOEL,8/11/2016,16:01:55,34.417233,-19.057133,8/11/2016 16:01,8,2016,11,32,16,1,0,18,19,1
1446,MANOEL,8/13/2016,16:04:27,34.474016,-19.071467,8/13/2016 16:04,8,2016,13,33,16,1,0,20,20,1
1494,MANOEL,8/14/2016,16:05:32,34.46595,-19.068283,8/14/2016 16:05,8,2016,14,33,16,1,0,20,20,1
1588,MANOEL,8/16/2016,16:08:02,34.448716,-19.065433,8/16/2016 16:08,8,2016,16,33,16,1,0,19,19,1
1636,MANOEL,8/17/2016,16:09:02,34.440317,-19.07275,8/17/2016 16:09,8,2016,17,33,16,1,0,19,20,1
1684,MANOEL,8/18/2016,16:10:20,34.45265,-19.0671,8/18/2016 16:10,8,2016,18,33,16,1,0,19,20,1
1780,MANOEL,8/20/2016,16:13:02,34.414633,-19.05435,8/20/2016 16:13,8,2016,20,34,16,1,0,18,19,1
1828,MANOEL,8/21/2016,16:13:56,34.465466,-19.069933,8/21/2016 16:13,8,2016,21,34,16,1,0,20,20,1
1874,MANOEL,8/22/2016,16:15:33,34.421367,-19.035867,8/22/2016 16:15,8,2016,22,34,16,1,0,18,18,1
1970,MANOEL,8/24/2016,16:17:32,34.443467,-19.069667000000006,8/24/2016 16:17,8,2016,24,34,16,1,0,19,20,1
2066,MANOEL,8/26/2016,16:20:02,34.42895,-19.064517,8/26/2016 16:20,8,2016,26,35,16,1,0,19,19,1
2113,MANOEL,8/27/2016,16:21:26,34.416767,-19.054283,8/27/2016 16:21,8,2016,27,35,16,1,0,18,19,1
2161,MANOEL,8/28/2016,16:22:57,34.425067,-19.0585,8/28/2016 16:22,8,2016,28,35,16,1,0,18,19,1
2255,MANOEL,8/30/2016,16:25:02,34.406033,-19.039683,8/30/2016 16:25,8,2016,30,35,16,1,0,18,18,1
2398,MANOEL,9/2/2016,16:00:21,34.436116,-19.07025,9/2/2016 16:00,9,2016,2,36,16,1,0,19,20,1
2494,MANOEL,9/4/2016,16:00:56,34.44545,-19.067417000000006,9/4/2016 16:00,9,2016,4,36,16,1,0,19,20,1
2685,MANOEL,9/8/2016,16:06:20,34.480566,-19.07795,9/8/2016 16:06,9,2016,8,36,16,1,0,21,20,1
2781,MANOEL,9/10/2016,16:08:26,34.489667,-19.050617000000006,9/10/2016 16:08,9,2016,10,37,16,1,0,21,19,1
2829,MANOEL,9/11/2016,16:09:32,34.486999999999995,-19.0905,9/11/2016 16:09,9,2016,11,37,16,1,0,21,21,1
2875,MANOEL,9/12/2016,16:10:57,34.483967,-19.08615,9/12/2016 16:10,9,2016,12,37,16,1,0,21,20,1
2971,MANOEL,9/14/2016,16:13:20,34.47815,-19.081283,9/14/2016 16:13,9,2016,14,37,16,1,0,21,20,1
3067,MANOEL,9/16/2016,16:15:50,34.5492,-19.0876,9/16/2016 16:15,9,2016,16,38,16,1,0,23,20,1
3258,MANOEL,9/20/2016,16:20:31,34.562983,-19.147233,9/20/2016 16:20,9,2016,20,38,16,1,0,24,23,1
3402,MANOEL,9/23/2016,16:24:20,34.486967,-19.103017,9/23/2016 16:24,9,2016,23,39,16,1,0,21,21,1
3450,MANOEL,9/24/2016,16:25:26,34.488,-19.0891,9/24/2016 16:25,9,2016,24,39,16,1,0,21,20,1
3531,MANOEL,9/26/2016,16:27:56,34.4889,-19.08855,9/26/2016 16:27,9,2016,26,39,16,1,0,21,20,1
3579,MANOEL,9/27/2016,16:29:33,34.47915,-19.065,9/27/2016 16:29,9,2016,27,39,16,1,0,21,19,1
3626,MANOEL,9/28/2016,16:00:25,34.499916,-19.04745,9/28/2016 16:00,9,2016,28,39,16,1,0,21,19,1
3674,MANOEL,9/29/2016,16:01:26,34.48615,-19.0802,9/29/2016 16:01,9,2016,29,39,16,1,0,21,20,1
3770,MANOEL,10/1/2016,16:04:02,34.51355,-19.092717,10/1/2016 16:04,10,2016,1,40,16,1,0,22,21,1
3865,MANOEL,10/3/2016,16:06:32,34.492183000000004,-19.108133,10/3/2016 16:06,10,2016,3,40,16,1,0,21,21,1
3913,MANOEL,10/4/2016,16:07:50,34.51115,-19.079983,10/4/2016 16:07,10,2016,4,40,16,1,0,22,20,1
4009,MANOEL,10/6/2016,16:10:02,34.51315,-19.041733,10/6/2016 16:10,10,2016,6,40,16,1,0,22,18,1
4057,MANOEL,10/7/2016,16:11:25,34.514783,-19.074767,10/7/2016 16:11,10,2016,7,41,16,1,0,22,20,1
4248,MANOEL,10/11/2016,16:16:20,34.485017,-19.076517000000006,10/11/2016 16:16,10,2016,11,41,16,1,0,21,20,1
4439,MANOEL,10/15/2016,16:14:01,34.50355,-19.08375,10/15/2016 16:14,10,2016,15,42,16,1,0,22,20,1
4533,MANOEL,10/17/2016,16:16:26,34.55235,-19.13255,10/17/2016 16:16,10,2016,17,42,16,1,0,24,22,1
4964,MANOEL,10/26/2016,16:27:32,34.5492,-19.161683,10/26/2016 16:27,10,2016,26,43,16,1,0,23,24,1
5057,MANOEL,10/28/2016,16:00:02,34.5577,-19.1233,10/28/2016 16:00,10,2016,28,44,16,1,0,24,22,1
5296,MANOEL,11/2/2016,16:06:01,34.55343333,-19.07051667,11/2/2016 16:06,11,2016,2,44,16,1,0,24,20,1
5580,MANOEL,11/8/2016,16:13:36,34.42756667,-19.06193333,11/8/2016 16:13,11,2016,8,45,16,1,0,18,19,1
5628,MANOEL,11/9/2016,16:14:32,34.41093333,-19.05038333,11/9/2016 16:14,11,2016,9,45,16,1,0,18,19,1
5676,MANOEL,11/10/2016,16:15:50,34.4172,-19.00243333,11/10/2016 16:15,11,2016,10,45,16,1,0,18,17,1
5724,MANOEL,11/11/2016,16:17:02,34.39196667,-18.99855,11/11/2016 16:17,11,2016,11,46,16,1,0,17,17,1
5772,MANOEL,11/12/2016,16:18:25,34.41361667,-19.0223,11/12/2016 16:18,11,2016,12,46,16,1,0,18,18,1
5819,MANOEL,11/13/2016,16:19:26,34.45033333,-19.0616,11/13/2016 16:19,11,2016,13,46,16,1,0,19,19,1
5866,MANOEL,11/14/2016,16:50:57,34.43761667,-19.02591667,11/14/2016 16:50,11,2016,14,46,16,1,0,19,18,1
5961,MANOEL,11/16/2016,16:23:21,34.4096,-19.04455,11/16/2016 16:23,11,2016,16,46,16,1,0,18,19,1
6200,MANOEL,11/21/2016,16:29:34,34.43818333,-19.04613333,11/21/2016 16:29,11,2016,21,47,16,1,0,19,19,1
6292,MANOEL,11/23/2016,16:01:50,34.44623333,-18.98845,11/23/2016 16:01,11,2016,23,47,16,1,0,19,16,1
6338,MANOEL,11/24/2016,16:03:02,34.42263333,-19.05286667,11/24/2016 16:03,11,2016,24,47,16,1,0,18,19,1
6386,MANOEL,11/25/2016,16:04:02,34.475,-19.00773333,11/25/2016 16:04,11,2016,25,48,16,1,0,20,17,1
6434,MANOEL,11/26/2016,16:35:51,34.41633333,-19.0516,11/26/2016 16:35,11,2016,26,48,16,1,0,18,19,1
6528,MANOEL,11/28/2016,16:07:56,34.45695,-19.05548333,11/28/2016 16:07,11,2016,28,48,16,1,0,20,19,1
6854,MANOEL,12/5/2016,16:18:42,34.4615,-19.06846667,12/5/2016 16:18,12,2016,5,49,16,1,0,20,20,1
6986,MANOEL,12/8/2016,16:20:26,34.50916667,-19.03085,12/8/2016 16:20,12,2016,8,49,16,1,0,22,18,1
7125,MANOEL,12/11/2016,16:23:49,34.56928333,-19.1004,12/11/2016 16:23,12,2016,11,50,16,1,0,24,21,1
7167,MANOEL,12/12/2016,16:25:02,34.55843333,-18.97001667,12/12/2016 16:25,12,2016,12,50,16,1,0,24,15,1
7212,MANOEL,12/13/2016,16:26:02,34.43165,-18.93885,12/13/2016 16:26,12,2016,13,50,16,1,0,19,14,1
7255,MANOEL,12/14/2016,16:27:16,34.37855,-18.95378333,12/14/2016 16:27,12,2016,14,50,16,1,0,16,15,1
7298,MANOEL,12/15/2016,16:28:31,34.35911667,-18.95256667,12/15/2016 16:28,12,2016,15,50,16,1,0,16,15,1
7345,MANOEL,12/16/2016,16:00:02,34.36696667,-18.92018333,12/16/2016 16:00,12,2016,16,51,16,1,0,16,13,1
7393,MANOEL,12/17/2016,16:01:20,34.31735,-18.94533333,12/17/2016 16:01,12,2016,17,51,16,1,0,14,14,1
7436,MANOEL,12/18/2016,16:02:20,34.29245,-18.97621667,12/18/2016 16:02,12,2016,18,51,16,1,0,13,16,1
7483,MANOEL,12/19/2016,16:04:20,34.27511667,-18.99428333,12/19/2016 16:04,12,2016,19,51,16,1,0,12,16,1
7529,MANOEL,12/20/2016,16:04:50,34.2734,-18.95831667,12/20/2016 16:04,12,2016,20,51,16,1,0,12,15,1
7577,MANOEL,12/21/2016,16:36:31,34.28841667,-18.9752,12/21/2016 16:36,12,2016,21,51,16,1,0,13,16,1
7622,MANOEL,12/22/2016,16:07:02,34.37811667,-18.91578333,12/22/2016 16:07,12,2016,22,51,16,1,0,16,13,1
7668,MANOEL,12/23/2016,16:08:31,34.36575,-18.91725,12/23/2016 16:08,12,2016,23,52,16,1,0,16,13,1
7713,MANOEL,12/24/2016,16:09:32,34.41691667,-18.88498333,12/24/2016 16:09,12,2016,24,52,16,1,0,18,12,1
7760,MANOEL,12/25/2016,16:10:56,34.38031667,-18.95356667,12/25/2016 16:10,12,2016,25,52,16,1,0,17,15,1
7807,MANOEL,12/26/2016,16:11:56,34.35853333,-18.95825,12/26/2016 16:11,12,2016,26,52,16,1,0,16,15,1
7850,MANOEL,12/27/2016,16:13:20,34.34758333,-18.93871667,12/27/2016 16:13,12,2016,27,52,16,1,0,15,14,1
7898,MANOEL,12/28/2016,16:14:32,34.41786667,-18.89081667,12/28/2016 16:14,12,2016,28,52,16,1,0,18,12,1
7945,MANOEL,12/29/2016,16:15:50,34.40898333,-18.90288333,12/29/2016 16:15,12,2016,29,52,16,1,0,18,12,1
7992,MANOEL,12/30/2016,16:17:02,34.36928333,-18.92421667,12/30/2016 16:17,12,2016,30,52,16,1,0,16,13,1
13477,PEDROCA,12/16/2015,16:08:02,34.529233000000005,-19.067917,12/16/2015 16:08,12,2015,16,50,16,1,0,23,20,1
13524,PEDROCA,12/17/2015,16:09:20,34.50795,-19.084,12/17/2015 16:09,12,2015,17,51,16,1,0,22,20,1
13572,PEDROCA,12/18/2015,16:10:32,34.509667,-19.064383,12/18/2015 16:10,12,2015,18,51,16,1,0,22,19,1
13619,PEDROCA,12/19/2015,16:11:32,34.466933000000004,-19.070067,12/19/2015 16:11,12,2015,19,51,16,1,0,20,20,1
13713,PEDROCA,12/21/2015,16:14:01,34.442966,-19.053317,12/21/2015 16:14,12,2015,21,51,16,1,0,19,19,1
13750,PEDROCA,12/22/2015,16:15:02,34.436,-19.021567,12/22/2015 16:15,12,2015,22,51,16,1,0,19,18,1
13796,PEDROCA,12/23/2015,16:16:59,34.458967,-19.06335,12/23/2015 16:16,12,2015,23,51,16,1,0,20,19,1
13901,PEDROCA,12/27/2015,16:21:02,34.554083,-19.0376,12/27/2015 16:21,12,2015,27,52,16,1,0,24,18,1
13948,PEDROCA,12/28/2015,16:22:26,34.503516,-19.059233,12/28/2015 16:22,12,2015,28,52,16,1,0,22,19,1
13995,PEDROCA,12/29/2015,16:23:32,34.479983000000004,-19.061117000000007,12/29/2015 16:23,12,2015,29,52,16,1,0,21,19,1
14043,PEDROCA,12/30/2015,16:24:56,34.477333,-19.06675,12/30/2015 16:24,12,2015,30,52,16,1,0,20,20,1
14138,PEDROCA,8/1/2016,16:16:02,34.506633,-19.07965,8/1/2016 16:16,8,2016,1,31,16,1,0,22,20,1
14186,PEDROCA,8/2/2016,16:15:56,34.489517,-19.04515,8/2/2016 16:15,8,2016,2,31,16,1,0,21,19,1
14234,PEDROCA,8/3/2016,16:17:34,34.446083,-19.03045,8/3/2016 16:17,8,2016,3,31,16,1,0,19,18,1
14329,PEDROCA,8/5/2016,16:19:32,34.407466,-19.0469,8/5/2016 16:19,8,2016,5,32,16,1,0,18,19,1
14376,PEDROCA,8/6/2016,16:20:31,34.435283,-19.053717,8/6/2016 16:20,8,2016,6,32,16,1,0,19,19,1
14424,PEDROCA,8/7/2016,16:21:56,34.4584,-19.064933,8/7/2016 16:21,8,2016,7,32,16,1,0,20,19,1
14472,PEDROCA,8/8/2016,16:23:02,34.402333,-19.04155,8/8/2016 16:23,8,2016,8,32,16,1,0,17,18,1
14520,PEDROCA,8/9/2016,16:24:19,34.464283,-19.0659,8/9/2016 16:24,8,2016,9,32,16,1,0,20,19,1
14568,PEDROCA,8/10/2016,16:25:32,34.48625,-19.081033,8/10/2016 16:25,8,2016,10,32,16,1,0,21,20,1
14616,PEDROCA,8/11/2016,16:26:32,34.475967,-19.076383,8/11/2016 16:26,8,2016,11,32,16,1,0,20,20,1
14664,PEDROCA,8/12/2016,16:27:56,34.467267,-19.075383,8/12/2016 16:27,8,2016,12,33,16,1,0,20,20,1
14712,PEDROCA,8/13/2016,16:28:56,34.474666,-19.076717,8/13/2016 16:28,8,2016,13,33,16,1,0,20,20,1
14759,PEDROCA,8/14/2016,16:00:02,34.500333000000005,-19.06135,8/14/2016 16:00,8,2016,14,33,16,1,0,21,19,1
14807,PEDROCA,8/15/2016,16:01:32,34.48835,-19.05475,8/15/2016 16:01,8,2016,15,33,16,1,0,21,19,1
14855,PEDROCA,8/16/2016,16:02:32,34.4707,-19.0754,8/16/2016 16:02,8,2016,16,33,16,1,0,20,20,1
14903,PEDROCA,8/17/2016,16:03:56,34.436283,-19.06545,8/17/2016 16:03,8,2016,17,33,16,1,0,19,19,1
14951,PEDROCA,8/18/2016,16:05:02,34.452917,-19.067267,8/18/2016 16:05,8,2016,18,33,16,1,0,19,20,1
14999,PEDROCA,8/19/2016,16:06:18,34.4339,-19.062933,8/19/2016 16:06,8,2016,19,34,16,1,0,19,19,1
15047,PEDROCA,8/20/2016,16:07:26,34.450683000000005,-19.061683,8/20/2016 16:07,8,2016,20,34,16,1,0,19,19,1
15095,PEDROCA,8/21/2016,16:08:32,34.473617,-19.04605,8/21/2016 16:08,8,2016,21,34,16,1,0,20,19,1
15142,PEDROCA,8/22/2016,16:10:02,34.4584,-19.035466,8/22/2016 16:10,8,2016,22,34,16,1,0,20,18,1
15190,PEDROCA,8/23/2016,16:11:02,34.460783,-19.065033,8/23/2016 16:11,8,2016,23,34,16,1,0,20,19,1
15238,PEDROCA,8/24/2016,16:12:02,34.481866,-19.085483,8/24/2016 16:12,8,2016,24,34,16,1,0,21,20,1
15286,PEDROCA,8/25/2016,16:13:20,34.54845,-19.031317,8/25/2016 16:13,8,2016,25,34,16,1,0,23,18,1
15334,PEDROCA,8/26/2016,16:14:26,34.549433,-19.059966,8/26/2016 16:14,8,2016,26,35,16,1,0,23,19,1
15717,PEDROCA,9/3/2016,16:24:02,34.499283,-19.0648,9/3/2016 16:24,9,2016,3,36,16,1,0,21,19,1
15765,PEDROCA,9/4/2016,16:25:26,34.506033,-19.081833,9/4/2016 16:25,9,2016,4,36,16,1,0,22,20,1
15812,PEDROCA,9/5/2016,16:26:26,34.518467,-19.0612,9/5/2016 16:26,9,2016,5,36,16,1,0,22,19,1
15860,PEDROCA,9/6/2016,16:27:50,34.497333000000005,-19.0595,9/6/2016 16:27,9,2016,6,36,16,1,0,21,19,1
15908,PEDROCA,9/7/2016,16:29:02,34.497117,-19.062883,9/7/2016 16:29,9,2016,7,36,16,1,0,21,19,1
15955,PEDROCA,9/8/2016,16:00:02,34.496833,-19.0682,9/8/2016 16:00,9,2016,8,36,16,1,0,21,20,1
